Date,Template,Conc,Fraction Bound
220302,WT,20,0.517547008
220302,A6/7C,20,0.099333996
220302,A17/18C,20,0.049026718
220302,T19/20G,20,0.008729117
220302,A22/23C,20,0.068796605
220302,A13/14C,20,0.533075829
220224,WT,20,0.588122819
220224,A6/7C,20,0.14027469
220224,A17/18C,20,0.112144023
220224,T19/20G,20,0.040985234
220224,A22/23C,20,0.102600099
220224,A13/14C,20,0.639038471
220215,WT,20,0.599649286
220215,A6/7C,20,0.102608264
220215,A17/18C,20,0.079700112
220215,T19/20G,20,0.020483359
220215,A22/23C,20,0.122165798
220215,A13/14C,20,0.610428119
220302,WT,40,0.847780424
220302,A6/7C,40,0.385208167
220302,A17/18C,40,0.2344263
220302,T19/20G,40,0.062309646
220302,A22/23C,40,0.302035842
220302,A13/14C,40,0.888454983
220224,WT,40,0.805061594
220224,A6/7C,40,0.436456762
220224,A17/18C,40,0.293161256
220224,T19/20G,40,0.105916809
220224,A22/23C,40,0.310207152
220224,A13/14C,40,0.736879607
220215,WT,40,0.759342796
220215,A6/7C,40,0.34563991
220215,A17/18C,40,0.122201419
220215,T19/20G,40,0.069646162
220215,A22/23C,40,0.344740691
220215,A13/14C,40,0.699206531
