Date,Template,Conc,Fraction Bound
220217,WT,80,0.165873254
220217,A6/7C,80,0.178502467
220217,A17/18C,80,0.007728353
220217,T19/20G,80,0.008291879
220217,A22/23C,80,0.020318772
220217,A13/14C,80,0.21949178
220225,WT,80,0.114054827
220225,A6/7C,80,0.129276682
220225,A17/18C,80,0.005956563
220225,T19/20G,80,NA
220225,A22/23C,80,0.016115196
220225,A13/14C,80,0.226368756
220304,WT,80,0.068242045
220304,A6/7C,80,0.087729212
220304,A17/18C,80,NA
220304,T19/20G,80,NA
220304,A22/23C,80,NA
220304,A13/14C,80,0.059173354
220217,WT,160,0.528194844
220217,A6/7C,160,0.40975931
220217,A17/18C,160,0.008680759
220217,T19/20G,160,0.027795792
220217,A22/23C,160,0.094102922
220217,A13/14C,160,0.605650813
220225,WT,160,0.406352608
220225,A6/7C,160,0.415823441
220225,A17/18C,160,0.010772863
220225,T19/20G,160,0.023458867
220225,A22/23C,160,0.071218462
220225,A13/14C,160,0.586759123
220304,WT,160,0.489085006
220304,A6/7C,160,0.470069176
220304,A17/18C,160,0.052650828
220304,T19/20G,160,0.038243724
220304,A22/23C,160,0.067437059
220304,A13/14C,160,0.48654413
