Operon,IdGene,Type,COGgene,PosLeft,PosRight,Strand,Function
1,cds0,CDS,NA,315,611,+,NA
2,cds1,CDS,COG1474,686,1873,+,"[LO] Cdc6-related protein, AAA superfamily ATPase "
2,cds2,CDS,ROG3190,1854,2174,+,NA
3,cds3,CDS,ROG1653,2244,3077,+,NA
3,cds4,CDS,COG2154,3125,3424,+,[H] Pterin-4a-carbinolamine dehydratase    
4,cds5,CDS,ROG1011,3492,4001,-,NA
4,cds6,CDS,NA,3998,4711,-,NA
4,cds7,CDS,COG0457,4745,5572,-,[R] FOG: TPR repeat   
5,cds8,CDS,COG2105,6063,6893,-,[S] Uncharacterized conserved protein   
5,cds9,CDS,ROG7611,6896,7147,-,NA
5,cds10,CDS,COG1585,7161,7535,-,[OU] Membrane protein implicated in regulation of
6,cds11,CDS,ROG4190,7571,8899,+,NA
6,cds12,CDS,COG0330,8924,9727,+,"[O] Membrane protease subunits, stomatin/prohibitin homologs "
7,cds13,CDS,NA,9758,10849,-,NA
7,cds14,CDS,ROG8000,10846,11535,-,NA
7,cds15,CDS,ROG5953,11522,14560,-,NA
7,cds16,CDS,COG0433,14565,16178,-,[R] Predicted ATPase    
7,cds17,CDS,COG1549,16223,16789,-,"[J] Queuine tRNA-ribosyltransferases, contain PUA domain "
7,cds18,CDS,NA,16761,17645,-,NA
8,cds19,CDS,NA,17888,18568,+,NA
8,cds20,CDS,COG1331,18610,20541,+,[O] Highly conserved protein containing a thioredoxin
8,fabG,CDS,COG1028,20554,21273,+,[IQR] Dehydrogenases with different specificities (related to
8,cds22,CDS,COG0819,21274,21915,+,[K] Putative transcription activator   
8,cds23,CDS,NA,21918,22580,+,NA
9,cds24,CDS,COG1637,22574,23287,-,[L] Predicted nuclease of the RecB family
10,cds25,CDS,COG0534,23339,24397,+,[V] Na+-driven multidrug efflux pump  
11,cds26,CDS,ROG8269,24521,25084,+,NA
